	0
0	1.316698292520087
1	1.3430147723476995
2	1.3715450466975485
3	1.5821819992620554
4	1.5318637949403355
5	1.4387319760858213
6	1.4778131918347057
7	1.457561329451156
8	1.5247238569687152
9	1.515082410649987
10	1.4293507840853263
11	1.4402007477837002
12	1.4267910045077938
13	1.0762860577055051
14	1.5218611225953609
15	1.572654656061576
16	1.4887036410212455
17	1.4759284437101263
18	1.4783788360468968
19	1.4036702168865185
20	1.4450210814744666
21	1.4230175849709437
22	1.465180018747157
23	1.341248141114971
24	1.4819670280980417
25	1.4395964472976364
26	1.4782091726783044
27	1.4142941095193644
28	1.3899524757853179
29	1.4118828065856581
30	1.3913089010563606
31	1.2648925568407157
32	1.2350805057622674
33	1.3180542955332921
34	1.2782683715054377
35	1.3773042864489355
36	0.9502151685221559
37	0.9220472276725432
38	0.9205216510213474
39	1.360284117146057
40	1.2495964570065186
41	1.330588512030122
42	1.4422802715384462
43	1.4069204288418908
44	1.4629820223078136
45	1.4530012475549654
46	1.4555735844084972
47	1.4850017589393965
48	1.3992785826530372
49	1.20572040316283
50	1.2408183317682695
51	1.2091100626183082
52	1.1699990120578094
53	1.1639471581063803
54	1.0664945521325355
55	1.1572926954781975
56	1.175001773712045
57	1.3601397895825682
58	1.3117695938923257
59	1.3276094267164236
60	1.3527818381246701
61	1.345536565165845
62	1.3276912460157722
63	1.3653057496393397
64	1.4027017847383383
65	1.351014232211742
66	1.4115781086923385
67	1.3800362448221983
68	1.4282762490979828
69	1.4651986094195977
70	1.444909767491433
71	1.45336031717429
72	1.1414617001394485
73	1.1190211632640772
74	1.1892896401353432
75	1.2793203084398892
76	1.2933621205568562
77	1.3141433512653384
78	1.359078658802498
79	1.3328593243650222
80	1.3043859247968286
81	1.25356486016159
82	1.1940616088250908
83	1.2159147816497944
84	1.345028926616429
85	1.3104389912223928
86	1.297153863808177
87	1.3274173945894556
88	1.2991273813491075
89	1.3310828305626776
90	1.4520247362169345
91	1.4118630904150045
92	1.445501929689278
93	1.2761548226185149
94	1.3614434246460783
95	1.2771647217603221
96	1.21869239397244
97	1.234246372154844
98	1.2452871708137387
99	1.3537837711065177
100	1.355380665343246
101	1.3559607588872287
102	1.217673961273776
103	1.1223467281740687
104	1.191032516197064
105	1.3825099208675173
106	1.3654932279963838
107	1.3653488574495831
108	1.228470229323707
109	1.2688380684425917
110	1.2620552815673642
111	1.2899841968426726
112	1.3020301393434257
113	1.3085193362243595
114	1.304578994336381
115	1.386113697132155
116	1.3429223085876998
117	1.3511030860915456
118	1.3234964467306196
119	1.2904830469798834
