	sigma	sigma_std	nu	nu_std
DDF Tumor	0.8306829170653334	0.20470826259986766	0.12956771896710512	0.00036306938017405726
HUH7	0.3101976488585939	0.12200188222877804	0.04129510339491716	0.0002097340995712533
Hep3B	0.35947036530676985	0.1698581221735437	0.04107011446928462	0.0002933446542962021
HepG2	0.5182213963059407	0.2213343245233114	0.048775978557440584	0.0003717054001309442
NAT	0.3138487972425487	0.06293049697199816	0.05269210836853414	0.00011099083228422357
Standard Tumor	0.38904785260118596	0.029835950447105852	0.0389047852601186	
