	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
DDF Tumor	1.0	-5.966575068507728e-05	-4.271640990944494e-05	-3.27737998759056e-05	-0.00011749003346586112	-0.00024466712953825334
HUH7	-5.9665750685077284e-05	0.9999999999999999	-7.087558267159144e-05	-5.4378684151856505e-05	-0.0001949408809787755	-0.00040595465310335263
Hep3B	-4.271640990944494e-05	-7.087558267159144e-05	0.9999999999999999	-3.89312484280517e-05	-0.00013956372767267238	-0.0002906344957953658
HepG2	-3.27737998759056e-05	-5.437868415185651e-05	-3.89312484280517e-05	0.9999999999999999	-0.00010707907547418208	-0.0002229868292402053
NAT	-0.00011749003346586112	-0.00019494088097877547	-0.00013956372767267235	-0.00010707907547418209	0.9999999999999998	-0.0007993803016152188
Standard Tumor	-0.00024466712953825334	-0.00040595465310335263	-0.0002906344957953658	-0.0002229868292402053	-0.000799380301615219	0.9999999999999998
