	DDF Tumor	HUH7	Hep3B	HepG2	NAT
DDF Tumor	0.9999999999999999	-0.00011123105054453026	-8.20354766976924e-05	-5.046335627847582e-05	-0.0006180431761422866
HUH7	-0.00011123105054453026	0.9999999999999999	-0.00016679546374829927	-7.030530191972097e-05	-0.00022065011365539529
Hep3B	-8.203547669769238e-05	-0.00016679546374829927	1.0000000000000002	-3.644403845566539e-05	-0.00017931455564718283
HepG2	-5.046335627847582e-05	-7.030530191972097e-05	-3.644403845566539e-05	1.0000000000000002	-0.00012422709918591887
NAT	-0.0006180431761422866	-0.00022065011365539529	-0.00017931455564718283	-0.00012422709918591887	1.0
