	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
ZNF676.H13CORE.0.PSG.A	0.00016106169843418768	2.1018135295339448e-07	2.557287076927985e-05	4.234365913384452e-06	0.0005447544552297488	0.0025827192864914463
ZN540.H13CORE.0.P.C	0.00013716584122460193	5.961301119718106e-08	3.5002628104795144e-06	5.788583473503203e-06	0.0004810723807431101	0.0019265778953806798
TZAP.H13CORE.0.P.B	-0.061472292402089124	-0.001986913064464817	-0.008322474525423392	0.008893130350047374	0.09561851736770467	0.013272781688280298
ZNF689.H13CORE.0.PSG.A	0.00032420190330362513	1.3532005377120866e-06	0.00014400199014594605	0.00010313711253232101	0.0006889179455622299	0.004626640890547231
KMT2A.H13CORE.0.P.B	0.0824424788203309	9.010660677647793e-05	-0.03107268254824471	-0.018143381459379743	-0.22473154279390448	0.21863550395661915
ZN124.H13CORE.0.P.C	1.4658433853638202	-0.13604227104900574	-6.3166165824377165	-7.167939045019805	-2.575818038212789	2.7349577357714616
ZNF8.H13CORE.0.P.C	-4.3936643702197747e-05	1.008549123442462e-08	2.1392016946720217e-06	-5.745724356849309e-06	-6.944567481679116e-06	-0.0005395314352479626
VEZF1.H13CORE.0.P.C	-2.1983186234093575	-0.4088886174376137	-1.5064099280608405	-5.424202000577617	3.990268442446897	2.2588061827167603
ZN768.H13CORE.1.P.B	0.7649987630464428	0.003289359103834254	0.4556253404149902	0.2472199428531762	-0.028918559177468862	-1.1126339359493649
ZN432.H13CORE.0.P.C	-7.269059072626719e-06	4.3018947439892826e-08	-8.113776964910253e-07	1.1359104474588245e-06	-1.5545136921532852e-05	-0.00018419193592682118
NR1I2.H13CORE.0.M.C	0.0002504071964905235	1.3709880475499578e-06	-9.421556952022162e-06	0.00011830876123844024	-0.00018864819954947831	0.0027830080347767934
CTCF.H13CORE.0.P.B	-0.005315455990380732	-5.610731720191923e-05	-0.001090754007050196	0.000405711890363703	0.006399614096180863	0.0011690951086713434
ZNF26.H13CORE.1.P.B	5.2126735217377185	0.060425139429504976	2.0171002752185667	2.6689238917106746	-9.631807472110589	1.7946905945157283
SOX10.H13CORE.2.S.C	0.04798058770648426	0.0010593894145447685	0.022556532771992047	0.006710097238878186	-0.05650633968497116	-0.025351801877345512
ZBT7B.H13CORE.0.SM.B	-0.7384592330949012	-0.0014731695536092998	0.10837554854137965	-0.03992135240263049	1.0900211839516551	-0.46478839833591784
SIX1.H13CORE.0.P.B	1.2296812498571568	-0.0024831835655079256	0.01760941669021352	-0.7365029100959104	2.8147677425003983	-2.41533751509161
CXXC4.H13CORE.0.PSGIB.A	-1.398922021326977	0.7169130407993842	5.47026299848337	3.2145724520842127	-5.503033747734279	-4.250106266762529
NR1I3.H13CORE.2.M.C	2.3610148524216115e-05	-6.359575397514117e-07	-5.4120891792348765e-05	-7.369175379698152e-05	0.0007256488235359989	0.004102526090502515
ZNF48.H13CORE.0.PSG.A	0.0021401493019583546	7.295524968123867e-06	0.0008192461923043695	0.0008416838618255043	-0.00245572709918681	0.01035062972229816
SIX6.H13CORE.0.SM.B	1.2320279655204824	0.1980158209766281	1.836516262400755	4.584983254627306	-1.705526393989887	-1.4701016780829335
FOXR2.H13CORE.0.M.C	-0.04290243051380769	0.002497826293020436	0.29618154075025616	0.3290763306093074	-0.9815943643699838	0.5184118243963327
AHCTF1.H13CORE.0.B.B	-23.98956732467074	5.821761337290502	-1.512910213661645	-4.401808605158258	-50.25625113270381	-129.27954256014155
KLF3.H13CORE.1.M.C	10.47035883760971	-0.44489133789827595	-0.7378403992823879	4.3148389432651335	1.48138948157075	-1.4713278956375209
SRBP2.H13CORE.0.S.B	3.4429214550111373	0.017122525955193115	2.646151561189538	1.013860032569797	-6.110034358511197	1.1838339521972077
ZN449.H13CORE.1.S.C	0.03833755648616484	-0.002664525315853895	0.05368237068927983	-0.0698934459143641	0.08698689356359257	-0.03716468985347283
HSF2.H13CORE.0.PSM.A	0.05926282595927552	0.0004419318128906622	0.01822665412584905	-0.01071849028664464	-0.07984894798573336	0.004801591226469753
ZNF699.H13CORE.0.PSG.A	0.008480180214545599	3.3853098387747225e-05	0.006690719164225545	-0.005107800888246426	-0.012756844470596064	0.002593941649087791
ZNF800.H13CORE.0.PSG.A	0.00031230403145261624	-6.334042944521586e-07	0.0003036921089399523	-4.8323940072792645e-05	-0.0005751601799687615	0.0004305839637177955
HOMEZ.H13CORE.0.S.B	-0.13354635332353584	-0.0002946206948370145	-0.052165222087356904	-0.03949632302679614	0.1916550588100708	-0.002498283154023119
ZN611.H13CORE.0.P.C	-5.8499139255860644e-05	-1.0388747379989372e-07	4.629103345810109e-06	-5.643638310621197e-06	-0.0005638159882420578	-0.0018629602226682617
SOX2.H13CORE.3.S.B	-0.9636480494382061	0.11728801502173554	2.6977652429980403	-4.587086458724136	3.6176827840870565	-1.6135854001797725
ZNF358.H13CORE.0.SG.A	-1.3456132921519968e-13	5.041626200663384e-17	-9.699221009322e-14	-6.134942190083977e-14	-2.0977540662174058e-13	-1.0887799180402323e-12
FOXD2.H13CORE.1.SM.B	0.021085038212252497	0.0005861590179750928	0.0035351536342175453	0.004119048587053167	0.05246872273943727	-0.093623431461032
ZFP82.H13CORE.0.P.C	3.704338315880736e-06	-1.2200111207571923e-08	-2.7509969177433897e-06	5.750954254308306e-07	-3.125220461910888e-06	5.775345589233328e-05
ZNF34.H13CORE.0.P.C	-0.0002280630117498765	-3.178624776670768e-07	-4.8608815756794023e-05	-4.166532200023495e-05	1.5454769221038172e-05	-0.0008154692503089987
