	overall	ASCL1	ATOH1	NEUROD1	POU2F3
NKX23.H14CORE.0.SM.B	2.07121938210644	1.3955044912993022	0.2229418124159468	3.4169308295780425	1.867417142518727
CUX2.H14CORE.2.S.C	3.12440440030555	2.1372872934347185	5.738888165069319	1.235373119754211	0.13649298785384692
ZN665.H14CORE.0.PSG.A	2.2851516929212408	1.9599253373355239	2.5866069553125994	2.7709452813729474	1.6363656122880867
ZN646.H14CORE.0.PSG.A	1.0703253121923	0.198295854631177	1.7369250340442763	1.212337860026562	0.2374703959881624
ZN213.H14CORE.0.P.C	4.138099572854321	2.680085271248682	6.621007477279038	3.3331098284367378	2.522945519756187
HINFP.H14CORE.0.P.B	0.4572262527291578	0.4810080635837777	0.5599583007030671	0.467020072185955	0.27054312254340146
ZN133.H14CORE.0.P.B	1.719469704205066	1.577904471386328	0.4745988986379495	2.7051432140436638	1.3392079042555056
IRF9.H14CORE.0.PSM.A	3.3042042042579363	1.751243897882673	4.018430163852225	3.8174738440993616	3.1437746375546416
Z354A.H14CORE.0.P.B	3.1649507571177122	0.23364469395349632	4.101234823623673	4.3209621963531655	2.1265516584580353
ZSC31.H14CORE.0.P.C	0.9231322508661773	0.45608367996251603	0.008860735147036001	1.751667396223234	0.3636799521695399
ZBT26.H14CORE.1.SM.B	1.5102894743272144	0.7744377294044309	2.884118265959473	0.40687345392111957	0.2011447458484179
PRD15.H14CORE.0.P.B	1.1833636977507023	1.313862389997646	0.7267331972429135	1.8231794504613772	0.1517884587410333
ELYS.H14CORE.0.B.B	2.9131654145490855	1.9503430566687858	0.25112385128618814	5.267482352281982	1.527370083220409
ZN322.H14CORE.0.P.C	1.9012165628655635	0.23246574211718024	0.9554575469066828	1.2019799398210116	3.470850393596105
ZFP90.H14CORE.0.P.C	0.37184284585411964	0.24706887153086085	0.1570326978852134	0.683101772955351	0.027167634276408958
ZN304.H14CORE.0.P.C	1.6155319316977732	0.5540791163364945	1.2883448180563568	2.0020918490726087	2.112951935053109
SALL3.H14CORE.0.PSG.A	1.0039015060090455	1.2164580326017853	0.5673822367056622	1.0674998091731998	1.044042309905865
ZN660.H14CORE.0.SM.B	3.3004189879490746	1.6669670822655636	1.246862721791292	6.2621489251903295	0.15200961300855337
ZN331.H14CORE.0.P.B	2.355405644162517	0.21636789617977856	3.5311157045137525	2.820373754134183	1.3121134463302733
E2F4.H14CORE.2.S.B	0.577603547822025	0.09687367783192168	0.8697934360495944	0.41811971877379395	0.6274983695175966
OSR1.H14CORE.0.SM.B	2.6438269281910634	1.7239289473841806	4.441529989627	2.055398601559713	1.0175953170263725
FOXB1.H14CORE.0.SM.B	2.763849564142329	2.115125621994807	4.691050713838993	1.9507116078942497	0.5200660333432213
ZN716.H14CORE.0.P.C	0.8647638970980799	0.6464474318117656	0.37547486636611754	1.559252333551008	0.03350960823538517
ZN587.H14CORE.0.P.C	3.6242134531409342	2.179979238354361	6.570312124702934	0.26548801811026257	2.1325800881271455
ZN141.H14CORE.0.P.C	1.3602823617987296	0.22631577634332883	2.281894579109913	1.0746260498993492	0.9941778348804365
ZN681.H14CORE.0.P.C	0.39558284790350356	0.2889612882832144	0.22628160510309292	0.4590618754442266	0.5296256808360864
ZN205.H14CORE.0.P.C	1.085572758024963	0.7811100635311896	1.9207431605659373	0.5057565165867585	0.39836663713619735
PRDM6.H14CORE.0.P.B	1.2717078618375772	0.5075272693506606	2.4323401097314097	0.25950987202200765	0.47723770934240567
SOX9.H14CORE.2.S.B	1.4827216300045167	1.212045700166861	2.2982503846670572	1.4158693607173294	0.19534091174061255
KAISO.H14CORE.0.P.B	3.5588629981790976	1.0356593197832415	6.012480451889741	2.313393078186094	2.8438924758196804
ZN507.H14CORE.0.I.B	0.730600936700605	0.26662604498800857	0.09800065810960074	0.8161774823400245	1.1782494028415385
ZN180.H14CORE.0.P.C	4.255032009263239	3.288633517235798	7.0440413087422264	3.338536466417172	0.9174614388998577
REL.H14CORE.0.P.B	1.731181114437424	0.6163390119575843	3.2556679998296953	0.9908063635165819	0.16433822190322625
NANOG.H14CORE.0.P.B	1.0525709393311453	0.2330176721236552	0.9460619831221203	1.4302667512167968	1.1985945261975217
ZN483.H14CORE.0.P.C	1.103651852864217	0.544236685424135	0.33015603834764645	1.1753206111049788	1.75659173714766
ZN773.H14CORE.0.PG.A	0.5694728154095451	0.051341158144484846	0.6880929890886465	0.8606542659688371	0.28348458208335126
RARG.H14CORE.0.P.B	4.037676252670817	2.8837227622334436	5.198843866028241	5.314779434882248	1.2730291164452567
STF1.H14CORE.0.PSM.A	2.3881299492972348	0.05725169087680607	0.8662876394530167	2.666561754760091	3.8663128425665594
ZN730.H14CORE.0.P.C	0.5623250594793453	0.16205749811187237	0.40832864252116385	0.3942524444250954	0.9572920072481427
MYPOP.H14CORE.0.PSGB.A	0.553129762529449	0.05234620446693724	0.36507224598913784	0.6615673751243911	0.8063007348631861
ZF69B.H14CORE.0.P.C	0.8329019814622041	0.21315141876791194	1.3672985144323595	0.6769942686212997	0.6337529867833865
CGBP1.H14CORE.0.PSGIB.A	1.1614297162663587	0.3579427099550878	2.2135830299519457	0.5898101149345306	0.14045339983747598
ETV7.H14CORE.1.P.C	4.6468602326333714	2.7808634925033813	5.344138074497905	5.344957475543668	4.638065992190223
MBD1.H14CORE.0.PSIB.A	4.525667055364597	3.0935905422684242	6.993442721785553	4.838454926147235	0.19354473793783003
ZN335.H14CORE.0.PSG.A	4.212085800468113	3.273883657871032	4.185683607811818	5.80282763795656	3.0092519163752884
THA.H14CORE.2.S.B	1.3649622020027408	0.7320271908909564	0.2856186435432566	2.5122059151868634	0.7237864833924593
ZN749.H14CORE.1.P.C	0.2904712937379213	0.3339790080905003	0.35103533261887027	0.270943287370346	0.17121986561179678
DPF1.H14CORE.0.SM.B	1.5236256510776016	0.8479983012787992	2.607297041892869	0.745572925515517	1.1012549784631078
HSF2.H14CORE.0.PSM.A	2.1954884462785915	0.9194657332059972	4.085192183744408	1.3213072546675662	0.02475473828469366
BARX1.H14CORE.0.P.C	1.3564897467133434	0.5010978058458675	1.2581038862090481	2.3492630723534376	0.08541866957730816
MYCN.H14CORE.1.M.C	1.8084643950239154	0.049364313365506035	0.7022834964009952	2.2411043346140023	2.7502702210691847
MEF2D.H14CORE.1.M.C	1.1588016649804902	0.10953705677933397	1.154941491643985	1.753333569422197	0.9753042466096057
ZN208.H14CORE.0.SGI.A	2.75393469232778	0.33394823147907515	0.6471941740125184	2.670731428638609	4.761663267632881
ZN772.H14CORE.0.PG.A	0.2513972801602527	0.23197407791271735	0.3477864108241027	0.19296585854750467	0.20198808614754427
RLF.H14CORE.0.PSGI.A	1.3705061683288742	0.5613434367393277	0.5727982296561752	2.3801997920069815	1.097539663963141
ZN480.H14CORE.0.P.C	4.923145544839347	2.869828785414581	1.9239455611197454	8.854564430270937	2.5707300895115885
OLIG1.H14CORE.0.S.B	3.569174976023285	2.6398848107921493	4.778040327688332	4.326744874138985	1.5609797066996633
ZN766.H14CORE.1.P.B	1.8408164186259792	1.4755010108753004	2.971249864969963	1.4629048910285916	0.6394533876354669
