	mean	std
NKX23.H14CORE.0.SM.B	-0.007058553077304648	0.0004400622484499196
PURB.H14CORE.0.B.B	0.01803956266104446	0.00046921777841562966
CUX2.H14CORE.2.S.C	0.008979702665457952	0.00036615906684106596
ZN665.H14CORE.0.PSG.A	0.007093485349507484	0.00031306762069904955
ZN646.H14CORE.0.PSG.A	-0.01674525355233289	0.0005172166790378577
ZFP28.H14CORE.0.P.B	0.02728396184387066	0.0005111243238396982
ZN213.H14CORE.0.P.C	-0.008578734390597286	0.0003528412583290605
HINFP.H14CORE.0.P.B	-0.016676353717446114	0.00033719534725101314
ZN282.H14CORE.0.P.B	0.0041637202558057335	0.0003941915600853798
ZN133.H14CORE.0.P.B	0.0017125307569669512	0.0003691464930438685
IRF9.H14CORE.0.PSM.A	-0.028068003447688034	0.000839738412467199
Z354A.H14CORE.0.P.B	0.016759003671981514	0.0006094554523833635
ZSC31.H14CORE.0.P.C	0.027637116547392024	0.00037006052980572286
ZBT26.H14CORE.1.SM.B	0.026401025154253153	0.0004531332981594814
PRD15.H14CORE.0.P.B	-0.017525838765378297	0.0004166168158475262
ELYS.H14CORE.0.B.B	-0.0194757033690561	0.000732383501808544
ZN322.H14CORE.0.P.C	-0.028123700235850348	0.0003998727212963387
ZFP90.H14CORE.0.P.C	-0.015409617086850382	0.00034908661557515267
ZN304.H14CORE.0.P.C	-0.014988129186327767	0.0003696086207685961
ZN689.H14CORE.0.PSG.A	-0.001474204042013403	0.0004421865975776406
SALL3.H14CORE.0.PSG.A	0.010423671180632952	0.0008027565064477025
ONEC2.H14CORE.3.P.B	-0.026489186109286435	0.0005163388055323397
ZN660.H14CORE.0.SM.B	0.026674965836314714	0.00034781661102237916
ZNF92.H14CORE.0.P.B	0.00487705295848817	0.00032970193620688167
ZN331.H14CORE.0.P.B	0.0022676818528010482	0.00043122187223570724
ZN667.H14CORE.1.P.C	0.012773802493642511	0.0003326396893069324
E2F4.H14CORE.2.S.B	0.029092545814479634	0.0006285876972499737
OSR1.H14CORE.0.SM.B	-0.005646868756671211	0.00040070057811510167
ZN75D.H14CORE.1.P.B	0.014857830641627868	0.00036549977258357256
PAX8.H14CORE.0.PSM.A	-0.01083928731801336	0.0003140676395445602
FOXB1.H14CORE.0.SM.B	0.016810209452553924	0.0005558438030206754
ZN716.H14CORE.0.P.C	-0.01939363116154259	0.0004205769877036105
ZN587.H14CORE.0.P.C	-0.011484097722146435	0.00032529285083328314
ZN141.H14CORE.0.P.C	-0.0011128593537781926	0.00038108803634644795
ZN681.H14CORE.0.P.C	0.015008787153687178	0.0005516837623810917
ZN205.H14CORE.0.P.C	0.006238641992378179	0.00035774623072681107
PRDM6.H14CORE.0.P.B	-0.013024328450012737	0.0005368182562013896
SOX9.H14CORE.2.S.B	-0.011408446623867774	0.00038406767031833825
