	sigma	sigma_std	nu	nu_std
DDF Tumor	0.8158518199176555	0.20105522628385614	0.14103403213393378	0.00036874181049140843
HUH7	0.30916027598450185	0.1215920765509162	0.037804384371142453	0.00021712730986963753
Hep3B	0.3591581580666299	0.16970741139521203	0.03935044779808799	0.0003037511634286098
HepG2	0.5171402538440791	0.22087011996482347	0.04462465686002011	0.0003803340447687463
NAT	0.3079552729675156	0.061750257394670965	0.057020763604985	0.00011261072846110366
Standard Tumor	0.3862232778070859	0.029619308893777282	0.03862232778070859	
