	overall	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
NKX23.H14CORE.0.SM.B	5.456292754459583	0.9640438375738822	4.665544193235703	1.1254946357036593	4.426976569786036	11.021143477215437	3.6877686105026566
PURB.H14CORE.0.B.B	5.472048611100597	9.084178113655062	2.1665933212954105	4.349095660903299	4.174210256407014	6.324383588560023	4.013350879921607
ZN646.H14CORE.0.PSG.A	2.7249096931363277	0.317795485697681	1.8439706346558176	1.7613975037075313	0.2337364709923326	5.801348523168436	2.0583432053667385
ZFP28.H14CORE.0.P.B	6.959914701450404	9.129139191821727	1.401031640029987	0.7181188940399713	0.8160403623077972	13.90939475600826	3.268872094684883
ZN213.H14CORE.0.P.C	2.960722325540889	1.6820279219929506	2.196758333599847	4.025377104447335	1.5736920877049785	4.873113885021094	1.5852092829761477
HINFP.H14CORE.0.P.B	1.8707810134428264	2.020821564734825	0.8934066919836104	1.580833077718743	0.49879583084282386	3.0708612566320115	1.9846951730205766
ZN282.H14CORE.0.P.B	1.3321127313522556	0.3547404980142569	1.1929235927101673	0.20816588292222507	1.0412901256251563	2.431631911901814	1.4344987067586186
IRF9.H14CORE.0.PSM.A	3.243542243225686	3.1967562513129693	2.921836897259687	3.240868662459491	5.648584378996672	1.2310841182336272	0.6646149538764358
Z354A.H14CORE.0.P.B	4.557788566914257	2.983497476038386	4.226585149394549	0.7096878688656598	3.853262535207355	8.894868623782928	1.8453627390706226
ZSC31.H14CORE.0.P.C	3.968523240271998	7.455610186711849	0.6847954163627432	2.4286315730166463	1.8467631675939058	5.38718790292589	0.33077668741163935
ZBT26.H14CORE.1.SM.B	1.9201044241814114	2.8229408645001373	0.35461541017792547	1.6201812757181495	0.6451393387994518	3.2805320518974668	0.47220346121650636
PRD15.H14CORE.0.P.B	3.3183667667190484	6.663048671998615	1.838127698832793	1.4564877367823743	2.1263739842867784	3.4009423891730703	0.2918646351143528
ELYS.H14CORE.0.B.B	3.443667362499899	1.662662181994967	2.1119016549773217	4.557159056344537	4.951255713722573	3.5680374970823854	2.4320715247439675
ZN322.H14CORE.0.P.C	5.809585635905335	8.026473804080153	1.2233610619003878	0.5864694170195893	0.179159536595494	11.445816179317248	2.2812419912788138
ZFP90.H14CORE.0.P.C	2.6978308345543742	3.884596746704109	0.008656437446868498	2.0581548121030244	1.2338628520829416	4.7150779012242126	0.7675949907826876
ZN304.H14CORE.0.P.C	4.083709703822189	5.197572492322783	1.433408644345777	1.0409602956470907	0.9283215574970216	8.108350443163724	1.816580126372822
ZN689.H14CORE.0.PSG.A	5.211720946918572	5.982935862535589	1.8473190958259995	3.63098962169773	0.7721106214200761	10.2489734776529	2.2231518625730726
SALL3.H14CORE.0.PSG.A	4.910232189201359	1.1835530432715435	0.2465105307091807	4.131442303281108	3.306260136383852	10.33806426890662	2.885302625445327
ZN660.H14CORE.0.SM.B	1.950683529765558	3.3731487548046064	2.4385329396026725	0.6788436205458215	2.0856582293003973	0.3076731199403598	0.7752163058698649
ZNF92.H14CORE.0.P.B	2.4958987388215217	5.654957358473795	0.9778374565188636	0.14157035502811366	0.334668084246205	0.8437231269550989	1.8969556299983035
ZN331.H14CORE.0.P.B	2.6570003417631103	4.95922576577145	1.853083562319568	0.039490915266615495	1.2513798006504966	3.566056862116311	0.21399422944045465
E2F4.H14CORE.2.S.B	6.373166427733166	0.3641033304281602	2.121543230378107	0.39488723710810486	2.6003419843017244	14.805620745277697	3.598036264626621
OSR1.H14CORE.0.SM.B	4.313922574513603	3.6893471222794547	0.6877730578438799	0.7689187440323731	1.3580669614614378	9.525240368566699	2.099873310442972
ZN75D.H14CORE.1.P.B	3.0534220646949657	2.1626707084592285	2.128192744461905	0.18383194668396308	1.681501338672391	5.8387821592132285	3.1275151224036013
FOXB1.H14CORE.0.SM.B	5.8660147818508355	11.285694845708118	3.215358139197688	1.6641844372632568	2.486722522381796	7.725371064876491	0.3473954188333906
ZN716.H14CORE.0.P.C	2.5081707262190656	4.187074901133165	2.059679421704786	1.2497625746974932	0.3473627219235517	3.7497316707935364	0.47811279697519504
ZN141.H14CORE.0.P.C	4.409462023382668	4.854220846379204	4.804741079997417	4.2225059583926114	6.667635316688639	2.7557707292805085	0.36047960457249256
ZN681.H14CORE.0.P.C	3.3858520341701137	0.47295813372501794	4.749740139436502	2.373979636393977	2.1241645019434965	5.520711971436612	2.318216637512284
ZN205.H14CORE.0.P.C	2.775723668304092	1.9037864306674406	1.5579394051281135	1.0992104194831314	0.6169708862643307	5.914966765160095	1.8975049089027878
PRDM6.H14CORE.0.P.B	3.2434712550622544	7.048148319364343	0.19543138591570994	2.531608826797189	1.534988449465126	1.9659285312549508	0.8808738582909078
SOX9.H14CORE.2.S.B	2.07407906857297	4.087354984715406	1.3536020797060102	2.344797701283674	0.5903885874280587	1.0380480103403074	0.5898609319245
KAISO.H14CORE.0.P.B	3.215024558492145	3.449890720474022	0.449023935435273	0.14255740656906543	0.5241857025996229	6.976859946544126	0.9712162548937572
ZN507.H14CORE.0.I.B	2.592378377044699	1.3900356218767198	1.7301126932757718	3.2126521216747066	3.8121631636290996	3.1991745661656603	0.5555406297116735
ZN180.H14CORE.0.P.C	2.206003326711422	0.8131093830593853	1.6456785901368478	0.38423101309585406	0.9821560666795569	4.306353687720815	2.4844220815775957
REL.H14CORE.0.P.B	2.3759281929040634	0.15567467818463654	4.066997603362728	0.17227236364757154	3.6600656254793558	1.763056810544562	0.8782807572366998
