	ASCL1	ATOH1	NEUROD1
ANDR.H14CORE.1.S.C	1.6751341998406581	-2.2288712985657284	-0.6232609901173471
ANDR.H14CORE.2.P.B	1.922221281458298	-1.7019360921373887	-0.8393801218308423
AP2A.H14CORE.0.PSM.A	2.3797242815850965	-1.601641037662258	-1.3873514254482426
ARNT.H14CORE.0.P.B	-1.744307779693897	4.640433252316545	-2.382648093906349
ATF1.H14CORE.1.P.B	-0.9170445991961971	3.149714061989144	-1.8710409224386904
BATF.H14CORE.0.P.B	2.19816679625725	-3.511071529989988	-0.10736072724554535
BATF2.H14CORE.0.PSG.A	1.6655498301017493	-3.0975784346203854	0.5737223211862507
BCL6.H14CORE.0.PSM.A	-1.7528380629113103	1.2258063894932	1.7365529777672477
CASZ1.H14CORE.0.SGI.A	2.410675087798454	-2.9646491951999727	-0.8260136837846663
CEBPG.H14CORE.0.P.B	4.840396331380752	-5.4124088145088	-2.8157452741861206
CENPB.H14CORE.0.S.B	1.517583526741658	-0.953764241406449	-0.5972442217604393
CGBP1.H14CORE.0.PSGIB.A	1.268939411751102	-1.7276229016525877	0.24934363091360873
CMTA1.H14CORE.0.PSGI.A	-0.6876286292449084	1.965856380721056	-1.2335812320286956
CMTA2.H14CORE.0.PSGI.A	4.8153129339765615	-7.671140361380547	0.16854212297596521
COE1.H14CORE.0.P.B	-0.7718943746944231	2.4860611768756637	-1.7766659942911107
CPEB1.H14CORE.0.S.B	-1.4420029855130059	0.7579343819814482	1.6488678377208088
CR3L4.H14CORE.1.S.C	-2.1576519522936524	6.447491325199628	-4.071476123004484
CREB5.H14CORE.0.P.B	-3.178425509710534	-0.952542339909851	7.3189805625008315
CREM.H14CORE.1.P.C	-0.7719954601798424	0.6294754429784472	0.10606693981422607
CUX2.H14CORE.2.S.C	-5.084124784873974	3.0423712721159264	5.665695453676567
CXXC4.H14CORE.0.PSGIB.A	1.269269055562018	2.852687332762321	-6.352242007113587
DACH1.H14CORE.0.S.B	2.7967146288925036	-4.579029038715437	0.33343148652685983
E2F1.H14CORE.0.P.B	-4.322775958921599	-0.2783139781330919	8.44020297032719
E2F4.H14CORE.2.S.B	-3.8883867610694005	2.959690936731977	3.7832814636633967
EGR1.H14CORE.0.PS.A	-0.20903280257980944	0.43442669039976106	-0.3473507690958061
