	ASCL1	ATOH1	NEUROD1
ASCL1	1.0	-0.00984003709795222	-0.007035782146495026
ATOH1	-0.00984003709795222	0.9999999999999998	-0.004205271267845471
NEUROD1	-0.007035782146495026	-0.004205271267845471	1.0
