	0
0	1.4721696804361968
1	1.2997152340693807
2	1.6640247271871502
3	1.2312678737627383
4	1.3724265686616102
5	1.5671353112132935
6	0.988759123215326
7	1.121531288727104
8	1.4005773283398735
9	0.6620135226362484
10	1.2295629303717102
11	1.3680748541921328
12	1.1019603110788372
13	1.104523047057009
14	1.1361652782549754
15	2.8036245220835707
16	1.4363710232714388
17	0.6895447280615994
18	0.6823950905278513
19	1.348393149731468
20	0.5866995244040623
21	1.4039756344692436
22	1.8209496541792312
23	0.9786223282614641
24	1.3136557369695934
25	1.1048511538089143
26	2.183213551877506
27	0.962690693476364
28	1.2980119839868949
29	1.3530219810621187
30	1.4409176428522548
31	1.246232436264424
32	1.0317205488845111
33	1.2763191817953068
34	1.019635371234648
35	0.9417975642273732
36	1.4173893032854585
37	0.5354644322661364
38	1.8513169288186124
39	1.1037179248991276
40	0.554856268413442
