	sigma	sigma_std	nu	nu_std
DDF Tumor	2.6219844394395784	0.6462359263582725	399.57382081705225	0.5234106644925471
HUH7	5.438242121375301	1.9868908444416378	0.05438242121375301	
Hep3B	5.572214935947414	2.276106822928711	853.0505336792157	1.8354490154585856
HepG2	7.045138417512861	3.005373703662065	879.3834413400936	2.308316354888185
NAT	1.0189600218494548	0.20436618382978308	224.5168375991044	0.17152703718591367
Standard Tumor	1.336354177729177	0.10248704295042182	229.32543832834423	0.0831174664055474
