	mean	std
ZNF676.H13CORE.0.PSG.A	645.6542178935047	99999.18538313231
ZN540.H13CORE.0.P.C	-4066.793443997445	99988.19059703805
TZAP.H13CORE.0.P.B	-2958.1423579220277	70.35487979116184
ZNF689.H13CORE.0.PSG.A	3247.698383409708	99987.03387803068
KMT2A.H13CORE.0.P.B	-1663.7416007073284	27.9240548038137
ZN124.H13CORE.0.P.C	8.047045916452399	0.9330929877646267
ZNF8.H13CORE.0.P.C	384.50214683387196	99999.96991007365
VEZF1.H13CORE.0.P.C	0.8645615051581813	0.04496814044513972
ZN768.H13CORE.1.P.B	-823.5387436332192	54.41444408484753
ZN432.H13CORE.0.P.C	-250.45634083099648	99999.97965537137
NR1I2.H13CORE.0.M.C	11095.15773102664	47123.785881729906
CTCF.H13CORE.0.P.B	8427.323340923242	1662.3258354509671
ZNF26.H13CORE.1.P.B	-1533.4387437682237	20.991151238400562
SOX10.H13CORE.2.S.C	4223.74036302634	141.82223704825506
ZBT7B.H13CORE.0.SM.B	81.79153136242238	2.1298042139993925
SIX1.H13CORE.0.P.B	-4369.027548507267	43.93837285385693
CXXC4.H13CORE.0.PSGIB.A	80.09078943158075	1.2197388520461763
NR1I3.H13CORE.2.M.C	1563.8206058881196	99999.5544183975
ZNF48.H13CORE.0.PSG.A	-758367.2797638786	16554.18155454727
SIX6.H13CORE.0.SM.B	44.188542148217444	0.8517068240125795
FOXR2.H13CORE.0.M.C	736.5718299653258	36.86796090096855
AHCTF1.H13CORE.0.B.B	0.49347557834057176	0.10292991186334893
KLF3.H13CORE.1.M.C	55.234507637780325	8.90971314503649
SRBP2.H13CORE.0.S.B	-24.15156161238221	3.1230831499193847
ZN449.H13CORE.1.S.C	5780.720531715243	82.60043333099267
HSF2.H13CORE.0.PSM.A	-10657.996428554952	274.7424536965387
ZNF699.H13CORE.0.PSG.A	-37759.93484156583	1668.6798905847327
ZNF800.H13CORE.0.PSG.A	-245865.39181128002	9173.42106138453
HOMEZ.H13CORE.0.S.B	53.763961576484945	3.7197339888401135
ZN611.H13CORE.0.P.C	638.5598590286409	99999.85523963264
SOX2.H13CORE.3.S.B	-174.4937293750405	6.263011842372424
ZNF358.H13CORE.0.SG.A	-0.08023901573616361	99999.99999940912
FOXD2.H13CORE.1.SM.B	-20121.19649600006	426.4926115307218
ZFP82.H13CORE.0.P.C	27.326355980974395	99999.99879009626
ZNF34.H13CORE.0.P.C	792.9452316657073	95685.79684965163
TAL1.H13CORE.1.P.B	-20012.55633903907	208.1930155350758
ZNF10.H13CORE.0.P.C	15944.519185699117	339.8114030649809
NR1D1.H13CORE.1.SM.B	50746.92370874367	1694.5944920194577
CREM.H13CORE.1.P.C	39252.2795594386	1473.780052191175
ZBTB2.H13CORE.0.SM.B	369.405109117235	10.830655587429904
ZFTA.H13CORE.0.PSGIB.A	-1.646653373832432	0.7131840821645884
HINFP.H13CORE.1.P.B	8.587940475949427	0.14647888982236573
NR1D1.H13CORE.0.P.B	-3375.414254489105	342.8890254441459
ZN251.H13CORE.0.P.C	-11435.609494654222	392.04534301994164
ZNF14.H13CORE.0.P.C	-2182.7974396154664	44020.88150542026
MTF1.H13CORE.0.SM.B	2357.927367274757	52.87599259988498
ATF1.H13CORE.1.P.B	25112.472847438494	675.6464454421563
FOXH1.H13CORE.0.P.B	-10.12468842581413	0.11466739408727718
MEF2D.H13CORE.1.M.C	5289.808552347867	1754.549233547089
NR2E1.H13CORE.1.S.B	-5872.9227421796195	239.60489871146643
ZNF92.H13CORE.0.P.B	29.516214791731432	99999.9993987014
NR1I3.H13CORE.0.P.B	519198.7924958443	16713.511466115946
NANOG.H13CORE.2.M.C	737.9418499206982	20.532427515299073
ZNF746.H13CORE.0.PSG.A	277359.2240801526	32704.83559579422
FOXE1.H13CORE.1.S.C	42.30155225256913	1.6654832864831235
ZN527.H13CORE.0.P.C	58884.23725022413	5998.830755088266
PRD14.H13CORE.0.P.B	65026.94922875779	488.33994357407886
HAND1.H13CORE.1.P.B	-74.37287218867532	2.384416877345988
ZNF12.H13CORE.0.P.C	181.29540432856655	99999.99842766678
LHX6.H13CORE.0.P.B	-104.00610090086809	1.552151297130123
CAMTA1.H13CORE.0.PSGI.A	2534.651266063883	39.61776922497575
ONEC2.H13CORE.3.P.B	-395.01868824656736	5.863935639275827
DMRTA.H13CORE.0.SM.B	8454.965244790963	394.79134261572733
ZN616.H13CORE.0.P.C	-12.134572222396091	99999.99987566755
ZNF83.H13CORE.0.G.C	-594.7012393473975	12.30059574289431
ZNF668.H13CORE.0.SG.A	-2452.793570474253	91.05851020206461
ZN823.H13CORE.0.P.C	-251876.58290241568	43874.55411526866
Z324A.H13CORE.0.P.B	-644540.8220479812	27282.680617410464
P73.H13CORE.0.PS.A	-293385.60680135235	2512.0595743376425
FEZF1.H13CORE.0.P.B	-91.4722642681875	6.902124014980084
TBX19.H13CORE.0.PS.A	267.69939442059285	99999.96775911444
TEF.H13CORE.0.SM.B	606.0292364770959	14.761595197383835
ZN587.H13CORE.0.P.C	1303.603943652986	99999.87308643718
RFX1.H13CORE.2.S.C	-112.71876565710348	2.9180659953823973
ZN528.H13CORE.0.P.B	231953.66946640942	8069.122917581162
ZN567.H13CORE.0.P.C	-0.0016596956707072856	99999.99999999933
HIC1.H13CORE.0.PSM.A	94.26374326264988	2.9175219441791715
ZSCA1.H13CORE.0.SM.B	152705.53600521086	2607.578733668892
ZN214.H13CORE.0.P.B	-827.5169118660325	99999.93668062688
ZNF648.H13CORE.0.PSGI.A	3.396893562509099	99999.99999172911
ZNF66.H13CORE.0.PG.A	-559.2810060303402	71.47573617025584
ZBT24.H13CORE.0.P.B	226818.21805176203	9011.373953769458
PRD15.H13CORE.0.P.B	-56959.319428567265	2115.938338317169
ZBED4.H13CORE.0.SGIB.A	-57303.86341309073	99979.27482996415
SETBP1.H13CORE.0.B.B	6657.763953026164	124.55577451066861
ZN136.H13CORE.0.P.B	1383.6208249206675	375.4138114034708
REST.H13CORE.0.P.B	38819.554192551645	4178.62271064271
NR2C1.H13CORE.0.S.C	-265.84311493928374	17.502675706601003
ZN563.H13CORE.1.P.C	-9814.453590611061	142.8135794821464
ZN320.H13CORE.0.P.B	-244.42912314001381	99999.97693735622
ZN671.H13CORE.0.P.C	24287.677701963585	68067.98792134791
SNAI1.H13CORE.0.PSM.A	-402.6079290141621	5.98971739767083
TBX21.H13CORE.0.PSM.A	-576.7191138480405	16.249957165012468
ZFP14.H13CORE.0.P.C	70277.24201750795	1643.5785851238904
ZN492.H13CORE.0.P.C	-443192.1029997706	8946.366646510965
ZNF57.H13CORE.0.PSG.A	58765.173164660235	49742.51456471304
ZNF841.H13CORE.0.PSGI.A	156951.49841013463	2537.0868934019363
TWST1.H13CORE.0.P.B	79284.33414301995	2428.3159239836523
ZF64B.H13CORE.0.P.B	-9427.0708422666	228.38335028032313
RLF.H13CORE.0.PSGI.A	2.47650579943598	0.8380527214601476
ZN770.H13CORE.0.P.B	62.45162056846771	1.7258628124829485
ZN778.H13CORE.0.P.C	4486.413110880621	90.27538717072554
ZBED1.H13CORE.0.S.B	3165.785616954536	128.8664214273998
ATMIN.H13CORE.0.P.B	-494470.7581433005	8238.082754686386
ZN548.H13CORE.0.P.B	1190.7709447927184	99966.43981702719
SP7.H13CORE.0.P.B	8713.396830265558	83.85224478317598
STA5A.H13CORE.0.P.B	1.5084811116455488	0.9678962587731592
GLI4.H13CORE.0.P.C	4.68660579160918	99999.99973447222
IRF3.H13CORE.1.SM.B	-33.00134045600298	99999.9997373574
ZN880.H13CORE.0.P.C	1002.1104651564202	99995.33855789476
ZN680.H13CORE.0.P.B	25418.065292596835	3943.6483479480803
MCR.H13CORE.0.S.B	-170571.0120593825	1105.2041095352163
ZN674.H13CORE.0.P.C	-45407.65910618141	678.1177883881645
PITX2.H13CORE.0.SM.B	-36.61279206087409	1.1315985290784458
Z705G.H13CORE.0.P.C	-301.7441095559366	99999.4263955469
GLIS1.H13CORE.0.P.B	-462.0978082886993	25.34702108232846
NANOG.H13CORE.1.P.B	82.03518317440472	4.7698621196799404
ZNF678.H13CORE.0.PSG.A	4204.245063769694	99998.17031292453
ZN133.H13CORE.0.P.B	-4.689398586989537	99999.99959773579
ZSA5A.H13CORE.0.SM.B	-3605.4546480374916	216.73914018249033
Z280A.H13CORE.0.P.B	-1742.152795952729	150.39279802773305
Z780A.H13CORE.0.P.C	-416649.20272853086	7978.077586503461
ZBT22.H13CORE.0.SM.B	-191017.44852877897	13902.361360903884
ZNF772.H13CORE.0.PG.A	647.2200270249297	44633.01667225754
ZSCAN25.H13CORE.0.PSG.A	148044.1585372109	9924.015300831117
SRF.H13CORE.0.PSM.A	32254.697959983747	392.1787292540489
ZN460.H13CORE.0.S.C	-363.21385943324657	8.383220927568965
GRHL1.H13CORE.1.PS.A	-297.67355007486896	4.1885943378007084
HXD10.H13CORE.0.SM.B	546.391189378857	16.891118574667
ZN730.H13CORE.0.P.C	-5840.013326354553	111.71892334541927
USF2.H13CORE.0.PSM.A	84045.98386898643	644.2417367961506
PKNX1.H13CORE.1.P.B	-47.46512749687543	0.7705671261582265
MBD1.H13CORE.0.PSIB.A	1990.3175355708156	59.698640655584384
CUX1.H13CORE.2.P.C	-868938.2206035812	15842.687742786737
ZNF347.H13CORE.0.PSGI.A	8.670001893171351	99999.99988632291
FOXB1.H13CORE.0.SM.B	602895.1570672789	12765.134005452683
ZFP90.H13CORE.1.P.C	124506.86033369052	3816.9246504645394
ZN782.H13CORE.0.P.C	-122.33750010303645	99999.99782133783
ZBTB5.H13CORE.0.SGI.A	927.8289535807522	117.7385208415744
ZSC29.H13CORE.0.P.B	182.91409234640653	2.5602093029836466
TEAD1.H13CORE.2.S.C	14074.70758343968	373.5595519783476
IRF7.H13CORE.0.S.B	-4140.337207047477	57.36229851435374
ZN662.H13CORE.0.P.C	-1633.7927883702098	99999.07262854555
ZBT7A.H13CORE.0.P.B	-14.412099249707772	0.29797266119911725
SMAD3.H13CORE.1.P.B	-0.8672895087069049	0.11448868985985054
TCF20.H13CORE.0.B.B	-7.739992377616502	2.1034481693826157
GLI3.H13CORE.1.M.C	-13905.277399999028	294.0291249762828
ZN765.H13CORE.0.P.C	2129.507010497912	99997.65401598411
ZN189.H13CORE.0.P.B	-1439.6718725050728	112.78928383761472
ZN649.H13CORE.0.P.C	136.05886769894525	8.008889816928866
ZN282.H13CORE.0.P.B	-4.548928408661361	0.26929596431993885
SRBP2.H13CORE.1.P.B	-332.71227125191456	26.90716626588542
HSF1.H13CORE.1.P.B	3.2658700434893255	0.07971248713628096
ZN302.H13CORE.0.P.B	-59.77930937074442	99999.99953372848
ZN329.H13CORE.0.P.C	-1910190.4081662784	30541.01090453379
NFYC.H13CORE.0.P.B	1982.406287020592	50.44010868186064
TIGD3.H13CORE.0.PSGIB.A	492635.22049606306	5439.126084948211
ZN273.H13CORE.0.P.C	-4188.43822935388	59568.01141424555
THAP1.H13CORE.0.P.B	5514.321818409735	67703.04274506362
ZKSC5.H13CORE.0.P.C	-174.16942979116325	3.550485321221826
ZN316.H13CORE.0.P.C	95016.70544987604	2911.7401776626643
ZN440.H13CORE.0.P.C	37.51828567899729	99999.99938293555
ZN341.H13CORE.0.P.B	-6.641674463697889	0.27105550841831866
ZN708.H13CORE.0.P.B	1.0353983127581987	99999.99907482852
ZFP28.H13CORE.0.P.B	899.7103369475402	99999.69495908098
ZNF44.H13CORE.0.P.C	320.0367751471283	99998.3176309712
ZFP3.H13CORE.0.P.C	18331.65765545173	723.2040631450965
GCM1.H13CORE.0.S.B	-67.51040601669911	2.275862893276776
OSR1.H13CORE.0.SM.B	-102.23988579233907	2.039578239074484
ZFAT.H13CORE.0.PSGI.A	38.30326861706927	4.648568490635389
NFKB1.H13CORE.0.PS.A	-50.704358937773	1.6789255705268264
DNTTIP1.H13CORE.0.PSG.A	-163.15266754910098	4.071931492399857
NRF1.H13CORE.0.PS.A	1076.592478821162	23.463553898586177
ZN547.H13CORE.0.P.B	-192.51602185391246	99999.96306778
ZN394.H13CORE.0.P.C	204238.01063635506	3288.104855779974
ZNF726.H13CORE.0.PSGI.A	2691.8078081588255	62402.496847224866
MAFG.H13CORE.1.PSM.A	-22084.83975297744	321.21352680320024
ZN75D.H13CORE.1.P.B	-128012.98345681869	1716.2563504490545
ZN613.H13CORE.0.P.C	-27380.601760495443	46479.632276998746
ZN791.H13CORE.0.P.C	8062.452667034891	114.92935771210763
ZNF587B.H13CORE.0.SG.A	-1229.1338265911504	27.539733846747904
ZN543.H13CORE.0.P.C	-218516.69268941527	3590.1746295538633
GABPA.H13CORE.0.PSM.A	76.77204129755219	1.397829144075479
P63.H13CORE.1.PS.A	662.2905702402722	10.975742735042012
ZNF131.H13CORE.0.PSGI.A	-266.7004490600325	7.316812239902028
ZIK1.H13CORE.0.P.C	-86.2470034141691	99999.95766092605
ZNF28.H13CORE.0.P.C	-8711.170874718782	1096.6815582878237
ZN584.H13CORE.0.P.B	-17407.01923149415	1706.468026229841
HINFP.H13CORE.0.P.B	8350.991170797477	1087.9810721735535
SLC2A4RG.H13CORE.0.PSG.A	-0.2327499193049175	0.034606202544720736
ZN454.H13CORE.0.P.B	358.2474597827945	99999.49953896491
ZNF41.H13CORE.0.P.C	-10.864442198561738	99999.9999106159
PO3F2.H13CORE.0.P.B	-22.328977999815102	31.04490779656574
ZNF35.H13CORE.0.P.C	1648.7365135793352	99973.05973651323
ZN454.H13CORE.1.SM.B	342.352585960174	8.319471625823425
ZN135.H13CORE.0.P.C	1679.5888293488056	31.635748607998924
ZBT14.H13CORE.0.P.C	14.210920611330284	0.4973722591786528
ZNF229.H13CORE.0.SG.A	10397.626331356309	198.9651096378356
YBOX1.H13CORE.0.SM.B	89.31485152551363	25.74921334962729
ZN37A.H13CORE.0.P.B	-717.3411581214967	153.01442244407227
ZN714.H13CORE.0.P.C	128793.13281752598	1909.2883933843818
ZSC22.H13CORE.0.P.C	1601.0125926539693	93.52821582787055
ZNF732.H13CORE.0.PSG.A	-649128.540443844	19518.94039409085
ZNF81.H13CORE.0.P.C	876.601963088896	24.23347036427905
MYNN.H13CORE.0.P.B	11073.825680163649	1477.894143397742
ZN776.H13CORE.0.P.C	-162759.21467040546	1688.1735011537803
TYY1.H13CORE.0.PSM.A	46.179483993694106	0.34238393500642283
HMBX1.H13CORE.0.PSM.A	4999.514425164292	40.73058101392872
HMGA1.H13CORE.0.P.B	26.925260227366866	0.40468996383622813
PAX7.H13CORE.2.PM.A	3906.125471992697	51.46636055738822
ZFP91.H13CORE.0.SGI.A	-266588.31434000813	8908.017148595398
ZNF77.H13CORE.0.P.C	25.96166673044632	99999.99749189416
ZN749.H13CORE.1.P.C	-0.3112160969959634	0.086945972912009
ZN766.H13CORE.1.P.B	-37.8014718990518	0.703526927871015
SALL3.H13CORE.0.PSG.A	50556.9979065546	8627.530549823474
ZN211.H13CORE.0.P.B	-246.1898500069005	10.175669722006607
FOSB.H13CORE.1.M.C	5.6041038671547385	2.559529123281372
ZNF30.H13CORE.0.P.C	411.66499820954914	99996.4537754388
ZN250.H13CORE.0.P.C	-83.60223652673689	4.874935752863852
ZSCAN12.H13CORE.0.P.B	728.8869067870116	99998.08838108253
ZNF700.H13CORE.0.PSG.A	409.8910851827245	16.96678268988967
ZFP41.H13CORE.0.SM.B	-624359.494292658	8632.994638630264
ZNF208.H13CORE.0.SGI.A	6167.07701771114	285.44255568564273
ZN821.H13CORE.0.SM.B	90.93408628143384	20.345395560471943
ZN134.H13CORE.0.P.C	52490.84883777242	1024.7162562834267
NPAS2.H13CORE.1.M.C	77.96181716323281	3.1978778227252316
MYPOP.H13CORE.0.PSGB.A	-1.7072348204799916	0.37389057408055404
ZN250.H13CORE.1.M.C	202.64905156811528	4.332970737654469
HSF5.H13CORE.1.S.C	215.89495491165442	10.08211447434994
ZN362.H13CORE.0.P.C	-13.659032189170878	0.915723696546026
NKX61.H13CORE.1.P.B	-0.595933598376801	0.10511600351514104
ZNF507.H13CORE.0.I.B	33.76461416057617	1.0473601421197294
ZN577.H13CORE.0.P.B	-102111.25636692384	11837.95260456208
PRDM6.H13CORE.0.P.B	36.8029695684652	5.012095096533248
GTF2IRD2.H13CORE.0.PS.A	1.5450395160322257	0.16811555180989524
JRK.H13CORE.0.PSGB.A	221.4065239351699	99999.60837250343
ZN860.H13CORE.0.P.C	-14617.475306477043	419.22790086642806
ZN707.H13CORE.0.P.B	-192.41795067228853	99999.95033032824
ZBT20.H13CORE.0.SM.B	-3598.446358819073	165.64237032904595
GRHL2.H13CORE.0.P.B	837.158327500523	18.47322757882285
IRF4.H13CORE.1.S.B	9465.739760362818	78.85734387648355
ZN254.H13CORE.0.P.C	-7.179411370254461e-07	99999.99999999999
PAX7.H13CORE.0.P.B	-788.0044044095478	24.61398417137589
PROX1.H13CORE.0.SM.B	2191.7627608602415	52.94143685282136
Z585B.H13CORE.0.P.C	595118.8013351234	8014.692012179149
MYRFL.H13CORE.0.P.C	-86265.0054894636	4372.497382924914
ZN667.H13CORE.0.P.C	6395.796699373302	99997.67936516956
ZN480.H13CORE.0.P.C	-9.402075741407517	99999.99983617704
ZN320.H13CORE.1.P.B	13.777914634069267	1.874374449433585
MYBB.H13CORE.1.S.B	-37.62832289146848	0.8150396696603772
ZN682.H13CORE.0.P.B	-1716.6792557861413	99999.57880792419
ZN669.H13CORE.0.P.B	27.885662259041982	99999.99970679494
ZNF76.H13CORE.1.SM.B	11887.774108711625	253.10136171632078
HAND1.H13CORE.0.P.B	-232682.04278324172	3674.010723737705
ZN335.H13CORE.0.P.B	805273.9593580554	12759.110912076618
