	mean
ENSG00000000003	2.83854295359574
ENSG00000000419	1.3080191228513196
ENSG00000000457	-0.44456200207397406
ENSG00000000460	-1.7092321255468377
ENSG00000000971	6.374211695260237
ENSG00000001036	2.5441359809064097
ENSG00000001084	2.811206152427221
ENSG00000001167	-0.8088725939900042
ENSG00000001460	-2.0152663256569117
ENSG00000001461	0.4865502164013748
ENSG00000001497	0.5397390355646328
ENSG00000001561	0.37890458112884123
ENSG00000001617	0.7995178531708699
ENSG00000001626	-4.634549419310803
ENSG00000001629	1.1052004560541275
ENSG00000001630	-2.543143418041499
ENSG00000001631	-2.1155743196933847
ENSG00000002016	-1.7603083078193427
ENSG00000002330	-0.0015531290543603176
ENSG00000002549	3.183851000995907
ENSG00000002586	3.5071579572935287
ENSG00000002587	-4.041261523204187
ENSG00000002822	-0.10080044541976296
ENSG00000002834	3.7265311373477674
ENSG00000002919	0.9116929532378979
ENSG00000002933	5.939873414838366
ENSG00000003056	0.7127647172535327
ENSG00000003096	-1.7399414334696948
ENSG00000003137	-3.8807744166213913
ENSG00000003147	-0.5475161863522764
ENSG00000003249	0.2629009279595603
ENSG00000003393	1.18741020356322
ENSG00000003400	0.8094297662695927
ENSG00000003402	2.637400672658691
ENSG00000003436	4.535620249927175
ENSG00000003509	-0.6284140765644118
ENSG00000003756	1.1628036619767719
ENSG00000003987	-2.7044033078418135
ENSG00000003989	3.189761623874183
ENSG00000004059	0.7607278187131287
ENSG00000004142	3.457527229531761
ENSG00000004399	1.8707204927044025
ENSG00000004455	2.1056535995385546
ENSG00000004468	-1.8340923087224603
ENSG00000004478	2.643102091737755
ENSG00000004487	1.5618280855741544
ENSG00000004534	1.6240860594387616
ENSG00000004660	-2.826372527094759
ENSG00000004700	-2.3037083517012293
ENSG00000004766	0.6601380365823796
ENSG00000004776	-3.169305361565318
ENSG00000004777	-1.3308875831798397
ENSG00000004779	1.9830300728716264
ENSG00000004799	2.9598907598295336
ENSG00000004864	3.1589252298089234
ENSG00000004866	1.225180941165302
ENSG00000004897	1.4954406180588098
ENSG00000004948	-6.857730085106933
ENSG00000004961	0.12962656851319782
ENSG00000004975	-0.203005360254293
ENSG00000005007	2.959708587944516
ENSG00000005020	0.3094354508090964
ENSG00000005022	4.132147291440391
ENSG00000005059	-2.4953186339136617
ENSG00000005075	1.2937128681869456
ENSG00000005100	-1.2262821623237459
ENSG00000005108	-1.8471925100669924
ENSG00000005156	0.19164129289018025
ENSG00000005175	0.13777943557698655
ENSG00000005187	0.8946003407421198
ENSG00000005189	-2.267153682880594
ENSG00000005194	0.10646694980637202
ENSG00000005206	1.4331443656267926
ENSG00000005238	-0.5410168538285639
ENSG00000005243	0.19131766963704472
ENSG00000005249	1.2261658593674956
