	ASCL1	ATOH1	NEUROD1	POU2F3
ASCL1	0.9999999999999998	-0.001959905809127238	-0.0020345651081170343	-0.0005902354153425834
ATOH1	-0.0019599058091272375	0.9999999999999998	-0.0005305664001916072	-0.0001539194191105227
NEUROD1	-0.0020345651081170343	-0.0005305664001916073	0.9999999999999998	-0.0001597827192131055
POU2F3	-0.0005902354153425834	-0.00015391941911052274	-0.0001597827192131055	1.0
