	ASCL1	NEUROD1	POU2F3
ASCL1	0.9999999999999999	-0.0023724974430581105	-0.0006387805598504611
NEUROD1	-0.0023724974430581105	1.0	-0.00016949983404452906
POU2F3	-0.0006387805598504611	-0.0001694998340445291	0.9999999999999999
