	0
0	1.4209689727380939
1	1.4638485655921287
2	1.3291297746143376
3	1.298383118510533
4	1.2796307102347018
5	1.5312257661828028
6	1.1237304513324045
7	1.2223975452864173
8	1.3402361792929007
9	1.4407834244480617
10	1.4391421842830505
11	1.4742653688308374
12	1.3674745293257353
13	1.40379392031305
14	1.1685120320301863
15	1.3401935696636884
16	1.4830553235552486
17	1.263305050894419
18	1.201344447319711
19	1.261625848546988
20	1.3048508587107313
21	1.5711121582941185
22	1.5848257741721279
23	1.2810463598056308
24	1.3655720454340072
25	1.413145190610927
26	1.2967134445857333
27	1.347917732855389
28	1.4604987255377948
29	1.3469951288587636
30	1.2431333228334953
31	1.2139272163227117
32	1.4302876689236184
33	1.5212457970176283
34	1.3117492652601943
35	1.1767722630275486
36	1.445360015296381
37	1.368245649774744
38	1.365877159071204
39	1.4584418391064
40	1.481721134668147
41	1.2083501743736509
42	1.4093304712898027
43	1.3397752898024884
44	1.2901637299172235
45	1.2599403992328162
46	1.4502657633533527
47	1.1168783482824671
48	1.3243170397825679
49	1.3881560050728396
50	1.4428300170947843
51	1.360161999048182
52	1.5250830601483245
53	0.9235083161854213
54	1.231381473758585
55	0.9260524432623765
56	1.161488896325354
57	1.4415326949912914
58	1.4912093481019588
59	1.39236714208114
60	1.4766006615699145
61	1.3167397702586128
62	1.4392531269214377
63	1.4909963481907669
64	1.4656590979026802
65	1.383245840933936
66	1.3074589708038493
67	1.3650888066447384
68	1.3642540607400442
69	1.1793913197178019
70	1.3943884798054234
71	1.3509559471669212
72	1.3534204510819494
73	1.2683886155848993
74	1.2379965249854301
75	1.145656152838721
76	1.071717321558986
77	1.3077555977831514
78	1.19204935806132
79	1.501290635822791
80	1.4805456494003444
81	1.2258182423261423
82	1.4251906158437488
83	1.325685756615804
84	1.4112005376517813
85	1.410319593823427
86	1.2949510876193466
87	1.4273679191467887
88	1.3265864051431464
89	1.2822913750815093
90	1.3012248797800416
91	1.4549963613988737
92	1.415195667260877
93	1.3109490470109264
94	1.3537628011318308
95	1.2398153815169224
96	1.4545591288963595
97	1.3520292283198396
98	1.3455104344797804
99	1.0736386958659652
100	1.1857885125665915
101	1.3146487053512148
102	1.3799535290295506
103	1.3312374387425392
104	1.2513095015355498
105	1.3162453871665525
106	1.3549138881630023
107	1.300378028306522
108	1.3561033904172537
109	1.4499045432603148
110	1.4166923916776062
111	1.2134727374096441
112	1.3833849303447239
113	1.3623834416635927
114	0.9540704231768086
115	1.2167416942462486
116	1.3314054475139412
117	1.439942661904874
118	1.4039371362700426
119	1.2819190839591939
