	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
DDF Tumor	1.0	-1.491936608800822e-05	-1.3023264089268107e-05	-9.860821635206048e-06	-0.00014576918067155228	-0.00029025265117999037
HUH7	-1.4919366088008218e-05	1.0000000000000002	-4.230633244709997e-06	-3.2033075229147683e-06	-4.7353408298876377e-05	-9.428915109378667e-05
Hep3B	-1.3023264089268109e-05	-4.230633244709996e-06	1.0	-2.7961992207959612e-06	-4.133526439162122e-05	-8.23059443815299e-05
HepG2	-9.860821635206046e-06	-3.203307522914768e-06	-2.7961992207959617e-06	0.9999999999999999	-3.1297811870815505e-05	-6.231957146075666e-05
NAT	-0.00014576918067155228	-4.7353408298876377e-05	-4.133526439162123e-05	-3.1297811870815505e-05	1.0	-0.0009212490812330719
Standard Tumor	-0.00029025265117999037	-9.428915109378666e-05	-8.23059443815299e-05	-6.231957146075666e-05	-0.0009212490812330719	1.0
