	DDF Tumor	Hep3B	HepG2	NAT	Standard Tumor
DDF Tumor	1.0	-0.004259821104064718	-1.4070308154302074e-05	-0.00012152646917440054	-0.00018857608768384218
Hep3B	-0.004259821104064719	0.9999999999999999	-7.028882877182971e-06	-2.3125036701251186e-05	-4.081880038157296e-05
HepG2	-1.4070308154302074e-05	-7.02888287718297e-06	1.0	-2.826782126335776e-05	-5.157745425412507e-05
NAT	-0.00012152646917440054	-2.3125036701251186e-05	-2.8267821263357768e-05	0.9999999999999998	-0.0009258391083546196
Standard Tumor	-0.0001885760876838422	-4.081880038157296e-05	-5.157745425412507e-05	-0.0009258391083546196	0.9999999999999999
