	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
DDF Tumor	0.9999999999999999	-5.945225488816999e-05	-4.266944699621389e-05	-3.2697602002555616e-05	-0.00011525122578199775	-0.00024283141411959722
HUH7	-5.945225488816999e-05	0.9999999999999999	-7.184545154137246e-05	-5.505517754664451e-05	-0.000194056331635585	-0.00040887177650557614
Hep3B	-4.266944699621389e-05	-7.184545154137246e-05	0.9999999999999999	-3.951362289979588e-05	-0.000139276069050359	-0.0002934511504848576
HepG2	-3.2697602002555616e-05	-5.505517754664451e-05	-3.951362289979588e-05	1.0	-0.00010672726728080577	-0.00022487164941690618
NAT	-0.00011525122578199775	-0.00019405633163558503	-0.00013927606905035896	-0.00010672726728080577	1.0000000000000002	-0.0007926187748230769
Standard Tumor	-0.00024283141411959722	-0.0004088717765055762	-0.0002934511504848576	-0.00022487164941690618	-0.0007926187748230768	1.0
