	DDF Tumor	HUH7	Hep3B	HepG2	NAT
DDF Tumor	1.0	-0.0001153795086464844	-8.009341058507316e-05	-4.419457981426466e-05	-0.0005273375995260277
HUH7	-0.0001153795086464844	1.0000000000000002	-0.0001522528844244447	-7.002460324299106e-05	-0.00020805558992570167
Hep3B	-8.009341058507315e-05	-0.00015225288442444467	1.0000000000000002	-3.2808027048242466e-05	-0.0001858554093104864
HepG2	-4.419457981426466e-05	-7.002460324299106e-05	-3.2808027048242466e-05	1.0	-0.00012161309875923136
NAT	-0.0005273375995260278	-0.00020805558992570167	-0.0001858554093104864	-0.00012161309875923137	1.0000000000000002
